1: AP@10=0.5180952380952382, AP@20=0.3373809523809524, NDCG@10=0.23668100667270126, NDCG@20=0.22346912302089383
2: AP@10=0.43809523809523804, AP@20=0.21904761904761902, NDCG@10=0.13617863947526518, NDCG@20=0.08788524747503433
3: AP@10=0.39464285714285713, AP@20=0.2407424812030075, NDCG@10=0.1427951440361373, NDCG@20=0.1159051930572108
4: AP@10=0.1375, AP@20=0.10080128205128205, NDCG@10=0.05473986210210934, NDCG@20=0.047163989629372634
5: AP@10=0.26, AP@20=0.16229166666666667, NDCG@10=0.0746685205050585, NDCG@20=0.048188625091776446
6: AP@10=0.716547619047619, AP@20=0.5031428001822738, NDCG@10=0.7900481307764868, NDCG@20=0.6187135929268865
7: AP@10=0.7675, AP@20=0.5711925247954659, NDCG@10=0.8603818544462509, NDCG@20=0.6150692609803684
8: AP@10=0.3083333333333333, AP@20=0.175, NDCG@10=0.0, NDCG@20=0.0
9: AP@10=0.14416666666666664, AP@20=0.10535539215686274, NDCG@10=0.023143740645592423, NDCG@20=0.014936214533890577
10: AP@10=0.788888888888889, AP@20=0.47702020202020207, NDCG@10=0.5972748688468207, NDCG@20=0.39866872076137105
11: AP@10=0.29166666666666663, AP@20=0.19163752913752913, NDCG@10=0.09650766274495248, NDCG@20=0.10190396146759194
12: AP@10=0.5225, AP@20=0.3481101986249045, NDCG@10=0.4400459189372568, NDCG@20=0.3085526143424222
13: AP@10=0.3571428571428571, AP@20=0.2584697539302802, NDCG@10=0.34672688982174127, NDCG@20=0.2595116169647735
14: AP@10=0.20416666666666666, AP@20=0.1321738310708899, NDCG@10=0.0, NDCG@20=0.0
15: AP@10=0.5433333333333332, AP@20=0.3218859649122806, NDCG@10=0.07839826897867533, NDCG@20=0.05059568297461706
16: AP@10=0.7434920634920634, AP@20=0.5222874021403433, NDCG@10=0.32169911395241035, NDCG@20=0.24167707642936245
17: AP@10=0.7434920634920634, AP@20=0.6548826584062653, NDCG@10=0.5027661428419201, NDCG@20=0.4060508553292525
18: AP@10=0.7577777777777778, AP@20=0.5672448752228163, NDCG@10=0.6846649966374541, NDCG@20=0.47944572610327146
19: AP@10=0.2571428571428571, AP@20=0.14107142857142857, NDCG@10=0.0, NDCG@20=0.0
20: AP@10=0.2, AP@20=0.12403846153846154, NDCG@10=0.0, NDCG@20=0.011583390899622858
21: AP@10=0.5857142857142856, AP@20=0.38356955544455545, NDCG@10=0.5637884576902256, NDCG@20=0.41180785708266837
22: AP@10=0.5180952380952382, AP@20=0.28597069597069597, NDCG@10=0.5541432109622957, NDCG@20=0.3949326850922599
23: AP@10=0.6875, AP@20=0.40044642857142854, NDCG@10=0.4973811325345484, NDCG@20=0.35734983066636355
24: AP@10=1.0, AP@20=0.5392857142857144, NDCG@10=0.7560393314686691, NDCG@20=0.4879230986813625
25: AP@10=0.6268253968253967, AP@20=0.3334126984126984, NDCG@10=0.09544866325082306, NDCG@20=0.06159945071622963
26: AP@10=0.6242063492063492, AP@20=0.3568253968253968, NDCG@10=0.6602961204351779, NDCG@20=0.4584718475919574
27: AP@10=0.3338095238095238, AP@20=0.1669047619047619, NDCG@10=0.4221394768599456, NDCG@20=0.27243503486137033
28: AP@10=0.6634920634920635, AP@20=0.4305028305028305, NDCG@10=0.7885497208855956, NDCG@20=0.5485253095525802
29: AP@10=0.4175, AP@20=0.40944187391555803, NDCG@10=0.2532954041105318, NDCG@20=0.1976385873553507
30: AP@10=0.788888888888889, AP@20=0.41944444444444445, NDCG@10=0.521835773234335, NDCG@20=0.3702132606885001
31: AP@10=0.866388888888889, AP@20=0.49155357757137946, NDCG@10=0.0, NDCG@20=0.0
32: AP@10=0.2095238095238095, AP@20=0.10476190476190475, NDCG@10=0.0, NDCG@20=0.0
33: AP@10=0.9, AP@20=0.6075854700854701, NDCG@10=0.18590562684493392, NDCG@20=0.15341491284541198
34: AP@10=0.21714285714285717, AP@20=0.16981900452488688, NDCG@10=0.0, NDCG@20=0.0
35: AP@10=0.40555555555555556, AP@20=0.25786549707602335, NDCG@10=0.21222636597291455, NDCG@20=0.1369639670812292
36: AP@10=0.8354365079365079, AP@20=0.530346459096459, NDCG@10=0.48993086854170786, NDCG@20=0.42375231853316614
37: AP@10=0.5383333333333333, AP@20=0.3689705882352941, NDCG@10=0.2984900352767555, NDCG@20=0.22814573251668868
38: AP@10=0.15, AP@20=0.1560157496012759, NDCG@10=0.10496004355587697, NDCG@20=0.10683943671598801
39: AP@10=0.9, AP@20=0.571474358974359, NDCG@10=0.7725583261075772, NDCG@20=0.5834357209044728
40: AP@10=0.8788888888888889, AP@20=0.6866616922808875, NDCG@10=0.46081298306235335, NDCG@20=0.4891332122555548
41: AP@10=0.0125, AP@20=0.00625, NDCG@10=0.0, NDCG@20=0.0
42: AP@10=1.0, AP@20=0.5305555555555556, NDCG@10=0.8726924496217513, NDCG@20=0.5966447036181151
43: AP@10=0.45, AP@20=0.32186274509803925, NDCG@10=0.2979753690457819, NDCG@20=0.24204253607815948
44: AP@10=0.788888888888889, AP@20=0.5093731431966726, NDCG@10=0.4281606284088727, NDCG@20=0.31594195652699253
45: AP@10=1.0, AP@20=0.8841812865497076, NDCG@10=0.7573322947273186, NDCG@20=0.6297409240872269
46: AP@10=0.1, AP@20=0.05500000000000001, NDCG@10=0.07336392209936005, NDCG@20=0.07968497102620557
47: AP@10=0.866388888888889, AP@20=0.5393643162393162, NDCG@10=0.6215388076198421, NDCG@20=0.44830660839292186
