1: AP@10=0.5233333333333332, AP@20=0.33951426024955433, NDCG@10=0.2758471541718662, NDCG@20=0.22356805996837661
2: AP@10=0.6164285714285714, AP@20=0.330436507936508, NDCG@10=0.1633170845733412, NDCG@20=0.10539951382930537
3: AP@10=0.4708333333333333, AP@20=0.3595587011028188, NDCG@10=0.16487988518760033, NDCG@20=0.13173387933268618
4: AP@10=0.09666666666666665, AP@20=0.08437229437229436, NDCG@10=0.04733968572587567, NDCG@20=0.04267025011668164
5: AP@10=0.33214285714285713, AP@20=0.17922932330827065, NDCG@10=0.07788360274770177, NDCG@20=0.05026353419379178
6: AP@10=0.8154365079365078, AP@20=0.512846459096459, NDCG@10=0.8529461229779989, NDCG@20=0.6183118788222333
7: AP@10=0.8788888888888889, AP@20=0.6398097041847042, NDCG@10=0.8643145546088337, NDCG@20=0.620841520268149
8: AP@10=0.4196428571428571, AP@20=0.20982142857142855, NDCG@10=0.0, NDCG@20=0.0
9: AP@10=0.42642857142857143, AP@20=0.333031752174554, NDCG@10=0.02613275632622511, NDCG@20=0.06660418990891608
10: AP@10=0.788888888888889, AP@20=0.4976307189542483, NDCG@10=0.5927783030715236, NDCG@20=0.42941761332229683
11: AP@10=0.2988095238095238, AP@20=0.19520895770895771, NDCG@10=0.09781856279914672, NDCG@20=0.10274997355966328
12: AP@10=0.5291666666666667, AP@20=0.3820559954751131, NDCG@10=0.3985306934307056, NDCG@20=0.28157696718736047
13: AP@10=0.3571428571428571, AP@20=0.26063693659281895, NDCG@10=0.34672688982174127, NDCG@20=0.2593360571583544
14: AP@10=0.32166666666666666, AP@20=0.2049891774891775, NDCG@10=0.03159612145651692, NDCG@20=0.02039110512601062
15: AP@10=0.49809523809523804, AP@20=0.3603192421613474, NDCG@10=0.07839826897867533, NDCG@20=0.05059568297461706
16: AP@10=0.7532142857142856, AP@20=0.6063745976245977, NDCG@10=0.27728936623646827, NDCG@20=0.25588132046642764
17: AP@10=0.7577777777777778, AP@20=0.6576042788910438, NDCG@10=0.4903450727418507, NDCG@20=0.3967591261722341
18: AP@10=0.7577777777777778, AP@20=0.5679142262965792, NDCG@10=0.6930810523201554, NDCG@20=0.48397199010379766
19: AP@10=0.3296428571428572, AP@20=0.19209415584415584, NDCG@10=0.0, NDCG@20=0.0
20: AP@10=0.2, AP@20=0.15845238095238096, NDCG@10=0.0, NDCG@20=0.012794879388460967
21: AP@10=0.5583333333333333, AP@20=0.35686274509803917, NDCG@10=0.5242546216537577, NDCG@20=0.38519466673899944
22: AP@10=0.5583333333333333, AP@20=0.32938596491228067, NDCG@10=0.638254026506318, NDCG@20=0.4228632989194566
23: AP@10=0.7675, AP@20=0.49363095238095234, NDCG@10=0.564564071583677, NDCG@20=0.36435121791370684
24: AP@10=1.0, AP@20=0.6061713106295149, NDCG@10=0.7534058962132318, NDCG@20=0.48622356555322
