1: AP@10=0.4514285714285714, AP@20=0.27048701298701294, NDCG@10=0.28515476656163385, NDCG@20=0.18402957559659547
2: AP@10=0.2571428571428571, AP@20=0.17437562437562437, NDCG@10=0.07839826897867533, NDCG@20=0.0630312664300986
3: AP@10=0.45555555555555555, AP@20=0.2659722222222222, NDCG@10=0.15633336444022494, NDCG@20=0.11203827934618099
4: AP@10=0.26, AP@20=0.1572222222222222, NDCG@10=0.10174496131323371, NDCG@20=0.06566287590188107
5: AP@10=0.16666666666666666, AP@20=0.12052968960863697, NDCG@10=0.03668196104968002, NDCG@20=0.03462833012813522
6: AP@10=0.7254365079365078, AP@20=0.47796550671550675, NDCG@10=0.8415908474314975, NDCG@20=0.5932368834499271
7: AP@10=0.645, AP@20=0.4750747863247863, NDCG@10=0.7819835854675756, NDCG@20=0.5878694266192924
8: AP@10=0.2, AP@20=0.13646106215765658, NDCG@10=0.0, NDCG@20=0.0
9: AP@10=0.125, AP@20=0.09434984520123839, NDCG@10=0.0, NDCG@20=0.0
10: AP@10=0.7675, AP@20=0.4859116541353384, NDCG@10=0.5879677911571285, NDCG@20=0.4251150643149631
11: AP@10=0.2838095238095238, AP@20=0.1877089577089577, NDCG@10=0.07336392209936005, NDCG@20=0.09940333038918289
12: AP@10=0.5, AP@20=0.2850877192982456, NDCG@10=0.39563617122131467, NDCG@20=0.27743148742670715
13: AP@10=0.3, AP@20=0.2077651515151515, NDCG@10=0.3764251307383051, NDCG@20=0.30368456295753515
14: AP@10=0.16607142857142856, AP@20=0.11092032967032965, NDCG@10=0.0, NDCG@20=0.0
15: AP@10=0.5, AP@20=0.28328947368421054, NDCG@10=0.09478836436955078, NDCG@20=0.06117331537803187
16: AP@10=0.6366666666666667, AP@20=0.45017094017094017, NDCG@10=0.24282080697396932, NDCG@20=0.20516120117570988
17: AP@10=0.866388888888889, AP@20=0.646853354978355, NDCG@10=0.44150895254279626, NDCG@20=0.36883680209973935
18: AP@10=0.866388888888889, AP@20=0.5130239898989899, NDCG@10=0.7033880518332781, NDCG@20=0.4787340952016086
19: AP@10=0.31714285714285717, AP@20=0.17419642857142859, NDCG@10=0.0, NDCG@20=0.0
20: AP@10=0.16666666666666666, AP@20=0.09270833333333332, NDCG@10=0.0, NDCG@20=0.0
21: AP@10=0.4958333333333333, AP@20=0.3032642602495544, NDCG@10=0.5705421029449425, NDCG@20=0.3814162665142756
22: AP@10=0.5233333333333332, AP@20=0.31358974358974356, NDCG@10=0.5293543065631353, NDCG@20=0.37893473558894686
23: AP@10=0.7, AP@20=0.39590643274853804, NDCG@10=0.48212361375505913, NDCG@20=0.31114683823902795
24: AP@10=1.0, AP@20=0.55, NDCG@10=0.6801398612863503, NDCG@20=0.4785611259161005
25: AP@10=0.4514285714285714, AP@20=0.2841353383458647, NDCG@10=0.07336392209936005, NDCG@20=0.05830167006707809
26: AP@10=0.6083333333333333, AP@20=0.35138028895768836, NDCG@10=0.607086450335719, NDCG@20=0.458721715562681
27: AP@10=0.3416666666666667, AP@20=0.18333333333333332, NDCG@10=0.341012886993856, NDCG@20=0.2308580130526681
28: AP@10=0.7621031746031746, AP@20=0.4426062091503267, NDCG@10=0.7846170207230129, NDCG@20=0.5427224942090894
29: AP@10=0.4155555555555555, AP@20=0.35997294372294364, NDCG@10=0.1427951440361373, NDCG@20=0.1545056118965671
30: AP@10=0.8, AP@20=0.4236842105263158, NDCG@10=0.5195874903466865, NDCG@20=0.36818977150557397
31: AP@10=0.7532142857142856, AP@20=0.41751623376623376, NDCG@10=0.0, NDCG@20=0.0
32: AP@10=0.03333333333333333, AP@20=0.02222222222222222, NDCG@10=0.0, NDCG@20=0.0
33: AP@10=0.6458730158730158, AP@20=0.4634389589169, NDCG@10=0.14782949091545258, NDCG@20=0.1294672988322713
34: AP@10=0.11333333333333333, AP@20=0.1076470588235294, NDCG@10=0.0, NDCG@20=0.0
35: AP@10=0.43555555555555553, AP@20=0.2538458892328861, NDCG@10=0.13143059893280581, NDCG@20=0.08482101713976703
36: AP@10=0.78, AP@20=0.5666135620915032, NDCG@10=0.5206178632166882, NDCG@20=0.5121350543583969
37: AP@10=0.38, AP@20=0.2460515873015873, NDCG@10=0.3301376494471202, NDCG@20=0.21306005945048595
38: AP@10=0.16999999999999998, AP@20=0.11427350427350427, NDCG@10=0.09114149661340844, NDCG@20=0.09225723738877972
39: AP@10=0.78, AP@20=0.5118614718614719, NDCG@10=0.7587084528964986, NDCG@20=0.5520038522288968
40: AP@10=0.6875, AP@20=0.4871099733599733, NDCG@10=0.3971921948634016, NDCG@20=0.3412703965656835
41: AP@10=0.014285714285714285, AP@20=0.015476190476190477, NDCG@10=0.0, NDCG@20=0.0
42: AP@10=0.8, AP@20=0.4375, NDCG@10=0.7264273425775352, NDCG@20=0.507197126093449
43: AP@10=0.3571428571428571, AP@20=0.21940476190476188, NDCG@10=0.2908338882890517, NDCG@20=0.19953136529687185
44: AP@10=0.89, AP@20=0.4834615384615385, NDCG@10=0.42659782779461364, NDCG@20=0.31261905934902556
45: AP@10=0.7675, AP@20=0.7024653900021549, NDCG@10=0.6308221815655695, NDCG@20=0.5501984418496448
46: AP@10=0.1, AP@20=0.05555555555555556, NDCG@10=0.07336392209936005, NDCG@20=0.08078417126259926
